Model,MAE (Rp),RMSE (Rp),R²,MAPE (%)
LSTM,188.13200816428235,252.88598358405653,0.7145570281581781,4.588913766648521
XGBoost,125.23522376656308,187.34945511539877,0.843334018012577,3.113086995033014
Hybrid (LSTM→XGBoost),124.37454927884616,188.52780338087663,0.8413570959233947,3.0736098453737415
