Model,MAE (Rp),RMSE (Rp),R²,MAPE (%)
LSTM,234.6005634930523,311.82278188188184,0.5660041570231178,5.663936203804627
XGBoost,123.16031198698406,184.94641737744774,0.8473271783635585,3.0635033605520587
Hybrid (LSTM→XGBoost),116.3888211992847,185.88281321129628,0.8457772796454932,2.8426886232228608
