Komparasi,Statistic,p-value,Kesimpulan
LSTM vs XGBoost,23966.0,3.6533432267946655e-40,SIGNIFIKAN ✅
Hybrid vs LSTM,19061.0,1.4560130059252317e-48,SIGNIFIKAN ✅
Hybrid vs XGBoost,59352.0,0.0009060597316343226,SIGNIFIKAN ✅
