Model,MAE (Rp),RMSE (Rp),R²,MAPE (%)
LSTM,186.13589013763485,251.1064288552003,0.718560210187734,4.5421178227055234
XGBoost,122.11400725917565,185.770923520018,0.8459629067993177,3.019562057039271
Hybrid (LSTM→XGBoost),131.56919669031427,200.14058895072296,0.8212112527967732,3.248412265327826
