Komparasi,Statistic,p-value,Kesimpulan
LSTM vs XGBoost,32376.0,1.1321249786088412e-27,SIGNIFIKAN ✅
Hybrid vs LSTM,41470.0,7.11305035788119e-17,SIGNIFIKAN ✅
Hybrid vs XGBoost,44723.0,1.0805673434429424e-13,SIGNIFIKAN ✅
