Price,Close,High,Low,Open,Volume
Ticker,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK
Date,,,,,
2020-01-02,2680.16357421875,2680.16357421875,2649.7761677092453,2674.086060273633,45886302
2020-01-03,2686.241455078125,2698.3964853671564,2668.0090728606892,2686.241455078125,91189705
2020-01-06,2655.85400390625,2668.0088700552324,2625.4665937096447,2649.776489223709,48648450
2020-01-07,2674.0859375,2680.1634511660836,2661.9310733839043,2680.1634511660836,114344885
2020-01-08,2661.931396484375,2674.086262075806,2637.62150208542,2661.931396484375,188929583
2020-01-09,2674.0859375,2686.2408016160953,2655.8535597178206,2674.0859375,79280569
2020-01-10,2680.16357421875,2692.318438892904,2668.0085463285163,2692.318438892904,137292491
2020-01-13,2740.938232421875,2740.938232421875,2686.2409331803506,2692.318447144093,122488655
2020-01-14,2777.4033203125,2795.635864373594,2747.0160733095436,2759.171102683606,174258629
2020-01-15,2783.48046875,2783.48046875,2753.093225745388,2777.4029548626463,112825318
2020-01-16,2777.4033203125,2789.5583496865625,2740.9385586225126,2777.4033203125,147387255
2020-01-17,2813.867919921875,2819.9454342588374,2795.635703343168,2807.7904055849126,133295352
2020-01-20,2832.100341796875,2850.332557595745,2813.867799565838,2850.332557595745,90022804
2020-01-21,2838.177978515625,2844.2554928552554,2819.945435496734,2838.177978515625,81224962
2020-01-22,2862.48779296875,2862.48779296875,2838.1780613330566,2844.2555758500275,90609115
2020-01-23,2880.72021484375,2892.8749169321113,2850.332643542406,2868.5651863232124,153849977
2020-01-24,2880.72021484375,2886.797729104019,2844.255455714314,2874.642700583481,105620964
2020-01-27,2826.02294921875,2856.41019447808,2819.945434880448,2856.41019447808,103076840
2020-01-28,2807.79052734375,2819.9455565447734,2777.4032807733865,2783.480795373898,104935872
2020-01-29,2807.79052734375,2832.100585745797,2795.6358245749216,2807.79052734375,214362682
2020-01-30,2783.48046875,2856.4099825339317,2783.48046875,2856.4099825339317,96500596
2020-01-31,2710.551025390625,2783.480708676935,2710.551025390625,2777.40319426572,150763654
2020-02-03,2710.551025390625,2728.7834054081795,2704.4736741955016,2710.551025390625,144745560
2020-02-04,2771.32568359375,2850.332718181785,2747.0159523482716,2850.332718181785,123617275
2020-02-05,2771.32568359375,2783.4807124325816,2740.9384379288563,2777.403198013166,100395764
2020-02-06,2765.248291015625,2789.5583497644284,2753.093588073423,2789.5583497644284,104342852
2020-02-07,2765.248291015625,2783.4808350772273,2759.1711027606234,2783.4808350772273,146349277
2020-02-10,2734.861328125,2753.0938740807046,2674.0866645876677,2734.861328125,187982906
2020-02-11,2740.938232421875,2759.1707743131033,2722.705853746727,2759.1707743131033,93666727
2020-02-12,2753.09326171875,2771.3254771868865,2747.0157477519842,2747.0157477519842,143167912
2020-02-13,2777.4033203125,2789.5583496865625,2759.171102683606,2783.4808349995315,87683284
2020-02-14,2765.248291015625,2789.5583497644284,2753.093588073423,2753.093588073423,139707803
2020-02-17,2716.62841796875,2759.1708537232594,2716.62841796875,2722.705932107406,131738165
2020-02-18,2674.0859375,2734.8605845126212,2674.0859375,2716.628206730442,97565635
2020-02-19,2722.705810546875,2722.705810546875,2704.4734321610113,2710.5507828122477,110893685
2020-02-20,2771.32568359375,2783.4807124325816,2740.9384379288563,2747.0159523482716,108000305
2020-02-21,2740.938232421875,2771.325475808428,2740.938232421875,2771.325475808428,117658802
2020-02-24,2728.783447265625,2759.171019787825,2716.6285814728394,2759.171019787825,113200755
2020-02-25,2734.861328125,2765.248578285608,2710.5514300668437,2710.5514300668437,125324724
2020-02-26,2722.705810546875,2740.9381889327387,2716.6282966795616,2734.8606750654253,164120194
2020-02-27,2607.9091796875,2765.772924914758,2601.5945823951342,2765.772924914758,227877075
2020-02-28,2645.79638671875,2645.79638671875,2468.9890217072757,2519.5052905797515,211162617
2020-03-02,2513.1904296875,2652.110526699088,2513.1904296875,2645.79593058499,206428685
2020-03-03,2588.965087890625,2639.4815212112,2525.8196310314597,2557.392444252596,218258509
2020-03-04,2664.739501953125,2677.3685243736254,2607.9086466862354,2614.22307310494,127937929
2020-03-05,2620.537841796875,2715.2561097332637,2607.908818544138,2708.941513315344,146949558
2020-03-06,2532.134521484375,2557.3927410762562,2525.819924190623,2551.0781437825044,175334118
2020-03-09,2367.956298828125,2494.2474031821725,2367.956298828125,2462.674584697877,163934401
2020-03-10,2468.988525390625,2544.762998258698,2386.899287006093,2386.899287006093,182576203
2020-03-11,2468.988525390625,2544.762998258698,2450.044907173607,2494.2467395410126,195275262
2020-03-12,2279.552001953125,2424.7866907882135,2273.237406025576,2412.1574989331157,167137546
2020-03-13,2349.01220703125,2380.585019217958,2121.6884341196387,2279.552155886974,295725807
2020-03-16,2210.09228515625,2367.956019810268,2184.834067261633,2367.956019810268,196265939
2020-03-17,2058.54296875,2254.293928468895,2058.54296875,2210.092093384528,229429422
2020-03-18,1982.7686767578125,2172.2052436666504,1951.19602866176,2064.8579348904364,272919333
2020-03-19,1850.162841796875,1982.768348871082,1850.162841796875,1976.453922045955,151744210
2020-03-20,1774.3883056640625,1875.4211762415032,1723.8720399584554,1850.162958597143,658210668
2020-03-23,1654.412109375,1704.92854849709,1654.412109375,1673.3557316500023,180848183
2020-03-24,1540.75,1736.5009634290448,1540.75,1629.1536718442849,544651637
2020-03-26,1856.477783203125,1894.3650295270634,1578.6375246058863,1578.6375246058863,698059077
