Model,MAE (Rp),RMSE (Rp),R²,MAPE (%)
LSTM,260.89777790806755,343.2043836173904,0.474254578881681,6.414341724723779
XGBoost,121.96045150899977,188.11734051998386,0.8420471352191606,3.0058001794987512
Hybrid (LSTM→XGBoost),126.30453084691604,191.229429801491,0.8367777701869227,3.1235069396116493
