Komparasi,Statistic,p-value,Kesimpulan
LSTM vs XGBoost,35707.0,2.1638675049565636e-23,SIGNIFIKAN ✅
Hybrid vs LSTM,35458.0,1.0671917087987995e-23,SIGNIFIKAN ✅
Hybrid vs XGBoost,66883.0,0.22972090596323747,Tidak Signifikan ❌
