Date,Actual_Close,Pred_LSTM,Pred_XGBoost,Pred_Hybrid,Error_LSTM,Error_XGBoost,Error_Hybrid
2023-10-04,4067.2939453125,3844.1711,4136.874,4132.9795,223.122802734375,-69.580078125,-65.685546875
2023-10-05,4067.2939453125,3843.0413,4121.416,4103.526,224.252685546875,-54.1220703125,-36.23193359375
2023-10-06,4027.99658203125,3834.557,4091.8506,4097.1426,193.439697265625,-63.85400390625,-69.14599609375
2023-10-09,4067.2939453125,3824.9768,4092.8184,4098.047,242.317138671875,-25.5244140625,-30.7529296875
2023-10-10,4126.24072265625,3811.7092,4094.7634,4106.711,314.531494140625,31.477294921875,19.52978515625
2023-10-11,4165.5380859375,3802.9473,4121.138,4108.928,362.5908203125,44.39990234375,56.60986328125
2023-10-12,4145.88916015625,3804.5188,4155.66,4155.0327,341.370361328125,-9.77099609375,-9.1435546875
2023-10-13,4126.24072265625,3818.2192,4142.8843,4139.0312,308.021484375,-16.6435546875,-12.79052734375
2023-10-16,4047.6455078125,3830.3455,4140.6714,4140.6787,217.300048828125,-93.02587890625,-93.033203125
2023-10-17,4047.6455078125,3838.7134,4119.8623,4103.449,208.93212890625,-72.216796875,-55.8037109375
2023-10-18,3929.75244140625,3833.7651,4093.9045,4102.9126,95.9873046875,-164.152099609375,-173.16015625
2023-10-19,3969.05029296875,3823.1003,4090.1216,4073.7048,145.949951171875,-121.0712890625,-104.654541015625
2023-10-20,3929.75244140625,3798.4873,4087.3003,4083.1958,131.26513671875,-157.5478515625,-153.443359375
2023-10-23,4008.34765625,3776.7815,4081.014,4073.0996,231.566162109375,-72.666259765625,-64.751953125
2023-10-24,4067.2939453125,3755.109,4085.8044,4098.5303,312.18505859375,-18.510498046875,-31.236328125
2023-10-25,3866.87646484375,3745.4277,4109.7676,4111.2363,121.44873046875,-242.89111328125,-244.35986328125
2023-10-26,3929.75244140625,3751.2917,4066.536,4058.4358,178.460693359375,-136.783447265625,-128.683349609375
2023-10-27,3929.75244140625,3741.6187,4092.9043,4082.7366,188.1337890625,-163.15185546875,-152.984130859375
2023-10-30,3898.314697265625,3737.0479,4078.8938,4087.567,161.266845703125,-180.5791015625,-189.252197265625
2023-10-31,3796.141845703125,3735.799,4048.7988,4076.362,60.3427734375,-252.656982421875,-280.22021484375
2023-11-01,3929.75244140625,3733.094,3966.67,3986.4714,196.658447265625,-36.91748046875,-56.718994140625
2023-11-02,4008.34765625,3717.7854,4066.2407,4051.294,290.562255859375,-57.89306640625,-42.9462890625
