Model,MAE (Rp),RMSE (Rp),R²,MAPE (%)
LSTM,208.4041768659123,277.0866769656164,0.6573102438738491,5.041241064254886
XGBoost,133.23385694550305,193.70361045193897,0.8325268206599162,3.336746899496195
Hybrid (LSTM→XGBoost),131.40130580880628,195.29113837165508,0.829770466971093,3.271846840562724
