Model,MAE (Rp),RMSE (Rp),R²,MAPE (%)
LSTM,233.33692505569888,318.08747900196386,0.5483906205607112,5.606603054498977
XGBoost,121.04425678646811,182.40467348052096,0.8514947771935268,3.01241950045338
Hybrid (LSTM→XGBoost),122.82229402409709,188.30134625873197,0.841737998111007,3.030017446558027
