Date,Actual_Close,Pred_LSTM,Pred_XGBoost,Pred_Hybrid,Error_LSTM,Error_XGBoost,Error_Hybrid
2023-10-04,4067.294677734375,3814.877,4135.8975,4138.1084,252.417724609375,-68.602783203125,-70.813720703125
2023-10-05,4067.294677734375,3810.54,4140.8677,4145.513,256.754638671875,-73.572998046875,-78.218505859375
2023-10-06,4027.99609375,3803.4346,4136.023,4139.241,224.5615234375,-108.02685546875,-111.2451171875
2023-10-09,4067.294677734375,3796.7097,4100.208,4110.9795,270.5849609375,-32.913330078125,-43.684814453125
2023-10-10,4126.240234375,3786.8218,4095.391,4115.562,339.41845703125,30.84912109375,10.67822265625
2023-10-11,4165.5380859375,3779.7283,4094.946,4111.3145,385.809814453125,70.592041015625,54.2236328125
2023-10-12,4145.88916015625,3778.978,4155.019,4154.3193,366.9111328125,-9.1298828125,-8.43017578125
2023-10-13,4126.240234375,3786.4546,4141.5693,4129.375,339.78564453125,-15.3291015625,-3.134765625
2023-10-16,4047.6455078125,3793.4407,4142.237,4148.6772,254.204833984375,-94.59130859375,-101.03173828125
2023-10-17,4047.6455078125,3799.346,4091.8816,4113.2983,248.299560546875,-44.236083984375,-65.65283203125
2023-10-18,3929.7529296875,3795.6821,4094.8193,4112.657,134.07080078125,-165.06640625,-182.904296875
2023-10-19,3969.05078125,3790.0103,4038.4473,4087.9053,179.04052734375,-69.396484375,-118.8544921875
2023-10-20,3929.7529296875,3774.7808,4053.0537,4084.8452,154.97216796875,-123.30078125,-155.09228515625
2023-10-23,4008.347900390625,3760.1855,4047.1008,4075.5562,248.162353515625,-38.7529296875,-67.208251953125
2023-10-24,4067.294677734375,3748.7556,4074.2014,4091.2212,318.5390625,-6.90673828125,-23.926513671875
2023-10-25,3866.876708984375,3739.987,4080.639,4093.0686,126.8896484375,-213.76220703125,-226.19189453125
2023-10-26,3929.7529296875,3743.116,4013.3025,4038.8984,186.636962890625,-83.549560546875,-109.1455078125
2023-10-27,3929.7529296875,3732.7156,4053.617,4072.4785,197.037353515625,-123.864013671875,-142.7255859375
2023-10-30,3898.314697265625,3728.588,4050.6716,4069.9421,169.726806640625,-152.35693359375,-171.62744140625
2023-10-31,3796.141357421875,3727.6624,4039.493,4098.2188,68.47900390625,-243.3515625,-302.077392578125
2023-11-01,3929.7529296875,3726.0488,3943.5007,3989.9746,203.7041015625,-13.747802734375,-60.2216796875
2023-11-02,4008.347900390625,3714.3245,4017.7803,4029.373,294.0234375,-9.432373046875,-21.025146484375
2023-11-03,4086.942626953125,3707.81,4073.0703,4069.9644,379.132568359375,13.872314453125,16.978271484375
2023-11-06,4126.240234375,3712.1768,4036.9802,4055.2805,414.0634765625,89.260009765625,70.959716796875
2023-11-07,4106.59130859375,3724.2957,4066.1648,4080.0723,382.295654296875,40.426513671875,26.51904296875
2023-11-08,4086.942626953125,3741.1853,4044.5671,4075.6033,345.75732421875,42.37548828125,11.33935546875
2023-11-09,3988.69921875,3756.281,4095.2632,4112.776,232.418212890625,-106.56396484375,-124.07666015625
2023-11-10,3949.4013671875,3769.1997,4035.8284,4087.542,180.20166015625,-86.427001953125,-138.140625
2023-11-13,3988.69921875,3771.548,4018.786,4087.396,217.151123046875,-30.086669921875,-98.69677734375
2023-11-14,4126.240234375,3769.1836,4031.0295,4086.5708,357.056640625,95.210693359375,39.66943359375
2023-11-15,4126.240234375,3767.158,4131.6914,4140.367,359.082275390625,-5.451171875,-14.126953125
2023-11-16,4106.59130859375,3770.168,4123.988,4117.857,336.42333984375,-17.396484375,-11.265625
2023-11-17,4126.240234375,3778.4353,4078.8384,4089.1729,347.804931640625,47.40185546875,37.0673828125
2023-11-20,4086.942626953125,3784.263,4125.4,4124.8086,302.6796875,-38.457275390625,-37.865966796875
2023-11-21,4145.88916015625,3789.7175,4128.2603,4166.92,356.171630859375,17.62890625,-21.03076171875
2023-11-22,4204.8349609375,3794.545,4134.944,4169.443,410.2900390625,69.89111328125,35.39208984375
2023-11-23,4244.1328125,3798.649,4191.789,4226.496,445.48388671875,52.34375,17.63671875
2023-11-24,4204.8349609375,3810.2222,4228.9624,4250.347,394.61279296875,-24.12744140625,-45.51220703125
2023-11-27,4204.8349609375,3825.5483,4212.6084,4232.608,379.28662109375,-7.7734375,-27.77294921875
2023-11-28,4165.5380859375,3837.5962,4237.069,4238.8813,327.94189453125,-71.53076171875,-73.34326171875
2023-11-29,4145.88916015625,3845.7268,4159.55,4170.951,300.162353515625,-13.66064453125,-25.06201171875
2023-11-30,4204.8349609375,3853.4321,4165.3276,4187.452,351.40283203125,39.50732421875,17.3828125
2023-12-01,4322.728515625,3857.0012,4162.8477,4185.8643,465.727294921875,159.880859375,136.8642578125
2023-12-04,4283.43017578125,3861.121,4347.0605,4356.021,422.30908203125,-63.63037109375,-72.5908203125
2023-12-05,4263.78173828125,3870.7883,4312.4307,4322.9824,392.993408203125,-48.64892578125,-59.20068359375
2023-12-06,4303.07958984375,3879.7341,4303.203,4315.447,423.345458984375,-0.12353515625,-12.3671875
2023-12-07,4224.48486328125,3886.203,4303.497,4318.1885,338.281982421875,-79.01220703125,-93.70361328125
