Komparasi,Statistic,p-value,Kesimpulan
LSTM vs XGBoost,29972.0,5.36253599795689e-31,SIGNIFIKAN ✅
Hybrid vs LSTM,30879.0,1.0157753036782882e-29,SIGNIFIKAN ✅
Hybrid vs XGBoost,51650.0,4.1733728225183895e-08,SIGNIFIKAN ✅
