Date,Actual_Close,Pred_LSTM,Pred_XGBoost,Pred_Hybrid,Error_LSTM,Error_XGBoost,Error_Hybrid
2023-10-04,4067.2939453125,3836.557,4124.9565,4121.973,230.737060546875,-57.66259765625,-54.67919921875
2023-10-05,4067.2939453125,3831.5386,4097.183,4116.3916,235.75537109375,-29.88916015625,-49.09765625
2023-10-06,4027.996826171875,3826.4814,4093.1191,4106.099,201.515380859375,-65.122314453125,-78.102294921875
2023-10-09,4067.2939453125,3820.3857,4099.04,4100.0186,246.908203125,-31.74609375,-32.724609375
2023-10-10,4126.24072265625,3812.3284,4092.818,4113.4336,313.912353515625,33.422607421875,12.80712890625
2023-10-11,4165.5380859375,3803.2722,4094.419,4105.0645,362.265869140625,71.119140625,60.4736328125
2023-10-12,4145.88916015625,3797.2688,4140.1875,4144.697,348.620361328125,5.70166015625,1.1923828125
2023-10-13,4126.24072265625,3799.0115,4110.877,4131.424,327.229248046875,15.36376953125,-5.18310546875
2023-10-16,4047.645263671875,3804.5745,4129.514,4137.1323,243.07080078125,-81.868896484375,-89.487060546875
2023-10-17,4047.645263671875,3811.81,4092.112,4114.277,235.835205078125,-44.466796875,-66.631591796875
2023-10-18,3929.75244140625,3813.9165,4093.5886,4116.657,115.8359375,-163.836181640625,-186.90478515625
2023-10-19,3969.050537109375,3811.0154,4081.9226,4083.296,158.03515625,-112.8720703125,-114.245361328125
2023-10-20,3929.75244140625,3802.2017,4080.6423,4080.2341,127.55078125,-150.889892578125,-150.481689453125
2023-10-23,4008.347900390625,3787.7756,4090.671,4062.5972,220.572265625,-82.322998046875,-54.249267578125
2023-10-24,4067.2939453125,3775.5603,4072.2751,4096.4634,291.733642578125,-4.981201171875,-29.16943359375
2023-10-25,3866.876708984375,3762.273,4083.0857,4103.3525,104.603759765625,-216.208984375,-236.475830078125
2023-10-26,3929.75244140625,3757.11,4053.153,4047.5999,172.642333984375,-123.400634765625,-117.847412109375
2023-10-27,3929.75244140625,3751.2986,4069.0183,4076.6455,178.453857421875,-139.265869140625,-146.89306640625
2023-10-30,3898.314453125,3744.1836,4076.7507,4081.1094,154.130859375,-178.436279296875,-182.794921875
2023-10-31,3796.141357421875,3739.3533,4097.757,4078.3364,56.7880859375,-301.615478515625,-282.195068359375
2023-11-01,3929.75244140625,3736.013,3977.863,3990.3398,193.739501953125,-48.110595703125,-60.58740234375
2023-11-02,4008.347900390625,3728.2046,4060.0745,4048.524,280.143310546875,-51.7265625,-40.176025390625
2023-11-03,4086.94287109375,3717.7112,4068.0771,4080.817,369.231689453125,18.86572265625,6.1259765625
2023-11-06,4126.24072265625,3714.5205,4059.0088,4056.6619,411.72021484375,67.23193359375,69.578857421875
2023-11-07,4106.591796875,3717.8499,4085.438,4064.7205,388.741943359375,21.15380859375,41.871337890625
2023-11-08,4086.94287109375,3728.13,4088.0627,4099.242,358.81298828125,-1.119873046875,-12.29931640625
2023-11-09,3988.699462890625,3740.7644,4101.0674,4099.8345,247.93505859375,-112.367919921875,-111.135009765625
2023-11-10,3949.40185546875,3755.4736,4061.0024,4075.3237,193.92822265625,-111.6005859375,-125.921875
2023-11-13,3988.699462890625,3765.5881,4082.125,4070.4119,223.111328125,-93.425537109375,-81.71240234375
2023-11-14,4126.24072265625,3770.9932,4087.7786,4063.7988,355.24755859375,38.462158203125,62.44189453125
2023-11-15,4126.24072265625,3773.325,4122.5884,4124.4204,352.915771484375,3.65234375,1.8203125
2023-11-16,4106.591796875,3775.6511,4105.4194,4120.503,330.940673828125,1.17236328125,-13.9111328125
2023-11-17,4126.24072265625,3783.6455,4113.9272,4122.3394,342.59521484375,12.3134765625,3.9013671875
2023-11-20,4086.94287109375,3790.2988,4129.657,4127.9824,296.64404296875,-42.71435546875,-41.03955078125
2023-11-21,4145.88916015625,3795.486,4134.1753,4137.0625,350.403076171875,11.7138671875,8.82666015625
2023-11-22,4204.83544921875,3801.9146,4129.154,4128.256,402.9208984375,75.681640625,76.57958984375
2023-11-23,4244.13330078125,3806.0442,4192.974,4177.9956,438.089111328125,51.1591796875,66.1376953125
2023-11-24,4204.83544921875,3814.8625,4262.6387,4241.4976,389.972900390625,-57.80322265625,-36.662109375
2023-11-27,4204.83544921875,3829.0442,4229.337,4220.9146,375.791259765625,-24.50146484375,-16.0791015625
2023-11-28,4165.5380859375,3844.618,4246.9346,4245.9106,320.920166015625,-81.396484375,-80.37255859375
2023-11-29,4145.88916015625,3855.8179,4212.7437,4210.2085,290.0712890625,-66.8544921875,-64.3193359375
2023-11-30,4204.83544921875,3867.3672,4177.693,4184.447,337.46826171875,27.142578125,20.388671875
2023-12-01,4322.7275390625,3876.1777,4178.9507,4183.549,446.5498046875,143.77685546875,139.1787109375
2023-12-04,4283.43017578125,3882.1306,4377.362,4373.5796,401.299560546875,-93.931640625,-90.1494140625
2023-12-05,4263.78125,3889.3354,4341.571,4322.531,374.44580078125,-77.78955078125,-58.74951171875
2023-12-06,4303.07861328125,3899.5088,4318.4844,4298.1753,403.56982421875,-15.40576171875,4.9033203125
2023-12-07,4224.484375,3908.5479,4306.2188,4293.6064,315.9365234375,-81.734375,-69.1220703125
2023-12-08,4165.5380859375,3915.33,4280.233,4272.304,250.2080078125,-114.69482421875,-106.76611328125
2023-12-11,4185.1865234375,3921.958,4225.864,4215.746,263.228515625,-40.67724609375,-30.5595703125
2023-12-12,4165.5380859375,3924.834,4217.4834,4216.3843,240.7041015625,-51.9453125,-50.84619140625
2023-12-13,4362.025390625,3926.3967,4165.3735,4167.8687,435.628662109375,196.65185546875,194.15673828125
2023-12-14,4362.025390625,3925.384,4374.328,4361.6978,436.641357421875,-12.302734375,0.32763671875
2023-12-15,4322.7275390625,3924.029,4412.914,4396.2456,398.698486328125,-90.1865234375,-73.51806640625
2023-12-18,4362.025390625,3931.3796,4396.401,4393.132,430.645751953125,-34.37548828125,-31.1064453125
2023-12-19,4362.025390625,3941.146,4402.966,4394.7754,420.87939453125,-40.9404296875,-32.75
2023-12-20,4381.67431640625,3946.6016,4429.1743,4417.4946,435.07275390625,-47.5,-35.8203125
2023-12-21,4460.26953125,3956.8584,4403.9126,4394.6055,503.4111328125,56.35693359375,65.6640625
2023-12-22,4420.97216796875,3966.6711,4423.2935,4415.2417,454.301025390625,-2.3212890625,5.73046875
2023-12-27,4499.56689453125,3976.6082,4438.695,4422.5527,522.958740234375,60.8720703125,77.01416015625
2023-12-28,4499.56689453125,3987.6243,4437.943,4419.5405,511.942626953125,61.6240234375,80.0263671875
2023-12-29,4526.6875,3997.5896,4439.372,4420.363,529.097900390625,87.3154296875,106.32470703125
2024-01-02,4466.86328125,4009.0227,4442.13,4422.155,457.840576171875,24.7333984375,44.70849609375
2024-01-03,4546.62890625,4020.1172,4441.893,4419.013,526.51171875,104.73583984375,127.61572265625
2024-01-04,4586.51123046875,4029.9587,4427.811,4415.9453,556.552490234375,158.7001953125,170.56591796875
2024-01-05,4486.80517578125,4034.418,4436.2007,4422.0083,452.38720703125,50.6044921875,64.796875
2024-01-08,4546.62890625,4041.3586,4454.1484,4428.6616,505.270263671875,92.48046875,117.96728515625
2024-01-09,4546.62890625,4047.7356,4447.5366,4422.392,498.893310546875,99.09228515625,124.23681640625
2024-01-10,4586.51123046875,4051.423,4428.1313,4416.4546,535.088134765625,158.3798828125,170.056640625
2024-01-11,4666.27685546875,4054.6292,4459.0024,4428.764,611.647705078125,207.2744140625,237.5126953125
2024-01-12,4646.3359375,4060.3057,4449.9883,4420.8335,586.0302734375,196.34765625,225.50244140625
2024-01-15,4646.3359375,4068.5786,4455.047,4421.5005,577.75732421875,191.2890625,224.83544921875
2024-01-16,4606.45263671875,4077.9106,4454.0903,4424.9106,528.5419921875,152.3623046875,181.5419921875
2024-01-17,4586.51123046875,4087.3516,4451.386,4421.244,499.15966796875,135.125,165.26708984375
2024-01-18,4626.39404296875,4095.7778,4440.3335,4417.249,530.6162109375,186.060546875,209.14501953125
2024-01-19,4606.45263671875,4101.761,4425.315,4413.133,504.69140625,181.1376953125,193.31982421875
2024-01-22,4546.62890625,4105.536,4432.9946,4410.53,441.0927734375,113.63427734375,136.09912109375
2024-01-23,4506.74609375,4108.5454,4427.602,4409.714,398.20068359375,79.14404296875,97.0322265625
2024-01-24,4407.0390625,4108.2397,4425.2866,4407.9688,298.79931640625,-18.24755859375,-0.9296875
2024-01-25,4327.2734375,4104.475,4400.3237,4391.738,222.79833984375,-73.05029296875,-64.46435546875
2024-01-26,4446.921875,4096.677,4364.6167,4362.4136,350.2451171875,82.30517578125,84.50830078125
2024-01-29,4486.80517578125,4083.0828,4365.8115,4360.722,403.722412109375,120.99365234375,126.0830078125
2024-01-30,4546.62890625,4064.9492,4392.705,4391.6006,481.6796875,153.923828125,155.0283203125
2024-01-31,4586.51123046875,4051.298,4401.969,4398.382,535.213134765625,184.5419921875,188.12939453125
2024-02-01,4666.27685546875,4046.2761,4402.891,4407.746,620.000732421875,263.3857421875,258.53076171875
