Model,MAE (Rp),RMSE (Rp),R²,MAPE (%)
LSTM,230.14797807589704,306.00445754993405,0.5820490475907332,5.568704998811973
XGBoost,133.6379023510788,195.1724659727037,0.8299772985587774,3.3422151381818264
Hybrid (LSTM→XGBoost),137.85972357601432,201.72814746822192,0.8183636299608793,3.4461558665456686
