Model,MAE (Rp),RMSE (Rp),R²,MAPE (%)
LSTM,246.80253054277088,317.92167856315086,0.5488612341833996,5.982120517546693
XGBoost,125.76383814713297,187.7508969746435,0.8426618995492527,3.133728935240675
Hybrid (LSTM→XGBoost),128.89851353629223,193.08938998524803,0.8335872173698924,3.19464933927937
