Model,MAE (Rp),RMSE (Rp),R²,MAPE (%)
LSTM,253.98855104142237,325.90402941583574,0.525922507364685,6.150967223672562
XGBoost,125.5298808886902,187.98251263772508,0.8422734595832039,3.1267475921452013
Hybrid (LSTM→XGBoost),137.93912836758327,199.77187636731003,0.8218693819933054,3.4584915440838575
