Komparasi,Statistic,p-value,Kesimpulan
LSTM vs XGBoost,21518.0,2.9739621064623153e-44,SIGNIFIKAN ✅
Hybrid vs LSTM,20765.0,1.4938452509570133e-45,SIGNIFIKAN ✅
Hybrid vs XGBoost,70298.0,0.8095094079242477,Tidak Signifikan ❌
