Model,MAE (Rp),RMSE (Rp),R²,MAPE (%)
LSTM,247.82632165733466,312.0365711241193,0.5654088999041494,6.028953520125001
XGBoost,129.8262556981414,192.4746015739506,0.8346452431533988,3.2314117480786817
Hybrid (LSTM→XGBoost),128.54774941736045,193.66229662590786,0.8325982514370895,3.1783068486365593
